Red,Green,Blue
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.452,0.288,0.260
0.451,0.284,0.265
0.449,0.286,0.265
0.447,0.287,0.266
0.448,0.292,0.260
0.447,0.287,0.266
0.447,0.287,0.266
0.447,0.287,0.266
0.446,0.293,0.261
0.451,0.286,0.264
0.451,0.286,0.264
0.451,0.286,0.264
0.451,0.286,0.264
0.451,0.286,0.264
0.444,0.289,0.267
0.444,0.289,0.267
0.444,0.289,0.267
0.444,0.289,0.267
0.444,0.289,0.267
0.444,0.289,0.267
0.444,0.289,0.267
0.444,0.289,0.267
0.449,0.292,0.258
0.444,0.289,0.267
0.444,0.289,0.267
0.444,0.289,0.267
0.444,0.289,0.267
0.451,0.286,0.264
0.452,0.290,0.258
0.457,0.283,0.261
0.457,0.283,0.261
0.451,0.286,0.264
0.451,0.286,0.264
0.451,0.286,0.264
0.456,0.289,0.256
0.456,0.289,0.256
0.456,0.289,0.256
0.455,0.284,0.261
0.456,0.289,0.256
0.455,0.284,0.261
0.455,0.284,0.261
0.464,0.286,0.250
0.470,0.289,0.241
0.469,0.284,0.247
0.475,0.287,0.237
0.475,0.287,0.237
0.481,0.286,0.234
0.481,0.286,0.234
0.481,0.286,0.234
0.474,0.289,0.237
0.474,0.289,0.237
0.480,0.280,0.240
0.480,0.280,0.240
0.479,0.288,0.233
0.486,0.278,0.236
0.479,0.282,0.239
0.486,0.278,0.236
0.486,0.278,0.236
0.479,0.282,0.239
0.471,0.286,0.243
0.478,0.284,0.239
0.478,0.284,0.239
0.478,0.284,0.239
0.478,0.284,0.239
0.478,0.284,0.239
0.485,0.279,0.235
0.486,0.286,0.229
0.479,0.282,0.239
0.479,0.282,0.239
0.479,0.288,0.233
0.479,0.288,0.233
0.474,0.289,0.237
0.469,0.284,0.247
0.464,0.286,0.250
0.465,0.279,0.256
0.460,0.287,0.253
0.460,0.287,0.253
0.460,0.287,0.253
0.460,0.287,0.253
0.460,0.287,0.253
0.460,0.287,0.253
0.460,0.287,0.253
0.466,0.284,0.250
0.466,0.284,0.250
0.461,0.281,0.258
0.461,0.281,0.258
0.461,0.281,0.258
0.461,0.281,0.258
0.461,0.281,0.258
0.461,0.281,0.258
0.461,0.281,0.258
0.456,0.289,0.256
0.456,0.289,0.256
0.456,0.289,0.256
0.456,0.289,0.256
0.456,0.289,0.256
0.456,0.289,0.256
0.456,0.289,0.256
0.456,0.289,0.256
0.461,0.281,0.258
0.461,0.281,0.258
0.456,0.289,0.256
